epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.174,2.19746,4.81465,2.02774,0.0113,0.83821,0.12168,0.03049,1.99614,4.59502,1.45737,0.000232711,0.000232711,0.000232711
2,375.155,1.56814,3.38255,1.41487,0.14649,0.29995,0.19368,0.0774,1.96766,3.3827,1.5651,0.000461391,0.000461391,0.000461391
3,553.456,1.48792,2.89922,1.34157,0.2401,0.81124,0.32381,0.1852,1.47782,2.96031,1.31236,0.000680646,0.000680646,0.000680646
4,731.812,1.43107,2.66083,1.3248,0.18429,0.61367,0.31452,0.18502,1.50074,3.57425,1.33096,0.000671588,0.000671588,0.000671588
5,909.051,1.41479,2.44092,1.29656,0.19289,0.5707,0.27298,0.14779,1.58171,2.89996,1.36225,0.000657451,0.000657451,0.000657451
6,1086.64,1.3885,2.27145,1.27359,0.32155,0.82546,0.45379,0.29996,1.30097,2.39421,1.30132,0.000643314,0.000643314,0.000643314
7,1264.2,1.3194,2.08358,1.22809,0.43043,0.78343,0.59472,0.37965,1.32057,1.9834,1.29342,0.000629177,0.000629177,0.000629177
8,1442.59,1.33651,1.98476,1.29803,0.40174,0.73396,0.482,0.24845,1.66585,2.39331,1.54792,0.00061504,0.00061504,0.00061504
9,1620.28,1.35385,1.92605,1.27664,0.38153,0.8048,0.61222,0.36894,1.38775,2.20202,1.3529,0.000600902,0.000600902,0.000600902
10,1797.44,1.29437,1.78508,1.26579,0.37608,0.7518,0.54164,0.34167,1.38932,2.16403,1.38242,0.000586765,0.000586765,0.000586765
11,1974.39,1.29222,1.64908,1.24241,0.47765,0.77607,0.68791,0.39278,1.4898,2.00984,1.3846,0.000572628,0.000572628,0.000572628
12,2151.93,1.25039,1.50925,1.2142,0.47909,0.74691,0.64982,0.39999,1.39249,2.00447,1.38265,0.000558491,0.000558491,0.000558491
13,2329.93,1.26232,1.48493,1.23099,0.64869,0.75433,0.78423,0.5086,1.25321,1.51132,1.313,0.000544354,0.000544354,0.000544354
14,2507.56,1.22857,1.43422,1.23552,0.49757,0.70225,0.68232,0.4266,1.3959,1.96497,1.38306,0.000530216,0.000530216,0.000530216
15,2685.1,1.24028,1.34559,1.23217,0.64477,0.77305,0.81048,0.51661,1.32925,1.47787,1.36469,0.000516079,0.000516079,0.000516079
16,2862.95,1.23501,1.31255,1.22937,0.62272,0.85961,0.81693,0.44944,1.57843,1.53339,1.53244,0.000501942,0.000501942,0.000501942
17,3040.07,1.23794,1.2824,1.22881,0.67544,0.77425,0.84545,0.54882,1.31896,1.5103,1.35508,0.000487805,0.000487805,0.000487805
18,3217.61,1.19695,1.25564,1.21165,0.52535,0.69906,0.70587,0.39662,1.56584,2.22648,1.50328,0.000473668,0.000473668,0.000473668
19,3394.27,1.21344,1.22795,1.20533,0.59632,0.72842,0.7084,0.46008,1.32858,1.65905,1.3654,0.00045953,0.00045953,0.00045953
20,3573.8,1.20606,1.20221,1.21329,0.69305,0.84375,0.87668,0.54789,1.37573,1.23342,1.38909,0.000445393,0.000445393,0.000445393
21,3753.29,1.20178,1.136,1.22617,0.78746,0.80373,0.88826,0.56516,1.30985,1.20861,1.368,0.000431256,0.000431256,0.000431256
22,3941.06,1.1793,1.1178,1.20711,0.76899,0.80274,0.88028,0.55762,1.35933,1.22906,1.38679,0.000417119,0.000417119,0.000417119
23,4130.71,1.1568,1.06892,1.19661,0.64296,0.83611,0.81982,0.45341,1.59612,1.36393,1.58518,0.000402982,0.000402982,0.000402982
24,4321.1,1.16313,1.07194,1.21704,0.63661,0.83001,0.84561,0.54022,1.35839,1.44063,1.42993,0.000388844,0.000388844,0.000388844
25,4501.42,1.1717,1.02854,1.20411,0.62445,0.83706,0.8292,0.51828,1.41772,1.46896,1.44279,0.000374707,0.000374707,0.000374707
26,4686.06,1.16173,0.99445,1.20276,0.7001,0.82128,0.85365,0.5144,1.51429,1.27252,1.49419,0.00036057,0.00036057,0.00036057
27,4872.1,1.12657,0.97842,1.18175,0.59193,0.77946,0.78849,0.50315,1.34472,1.6581,1.41542,0.000346433,0.000346433,0.000346433
